taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,decimalLongitude,decimalLatitude,climate
57069,Eleutherodactylus zugi,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,,"Schwartz, 1958",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-83.0167,22.8,Aw Tropical-Savanna
7640,Elliptio chipolaensis,,,,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Elliptio,Chipola Slabshell,"(Walker, 1905)",2000,2000-06-30,EN,B1+2c,Decreasing,False,True,False,"Bogan, A.E. (Mollusc Specialist Group)","Seddon, M.B. (Mollusc Red List Authority)",,,,,,,,,,,-85.165298,30.627501,Cfa Temperate-Withouth_dry_season-Hot_Summer
180894,Ellopostoma mystax,,,,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,ELLOPOSTOMATIDAE,Ellopostoma,,"Tan &amp; Lim, 2002",2011,2011-01-19,EN,"B1ab(ii,iii)",Decreasing,False,True,False,"Vidthayanon, C.","Ng, H.H., Smith, K., Kottelat, M., Kullander, S.O. & Rainboth, W.",,5000,100.0,40.0,,,,,,,99.224624,9.11774,Aw Tropical-Savanna
7669,Emballonura semicaudata,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Emballonura,Pacific Sheath-tailed Bat,"(Peale, 1848)",2021,2019-06-30,EN,A2abce,Decreasing,False,False,True,"Waldien, D.L. & Scanlon, A.","Battistoni, A.",,,,,,,,,,,-178.784832,-18.210008,
178217,Emoia adspersa,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Emoia,Micronesian Skink,"(Steindachner, 1870)",2013,2011-09-12,EN,"B1ab(ii,iii,v)",Decreasing,False,False,True,"Allison, A., Hamilton, A., Austin, C.M. & Fisher, R.","Cox, N.A. & Bowles, P.",,3071,10.0,1.0,,,,,,,-172.71861,-13.5736,Af Tropical-Rainforest
178469,Emoia boettgeri,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Emoia,Micronesia Forest Skink,"(Sternfeld, 1918)",2013,2011-09-12,EN,B1ab(iii),Decreasing,False,False,True,"Allison, A., Austin, C.C., Fisher, R., Hamilton, A. & Tallowin, O.","Cox, N.A. & Bowles, P.",,522,780.0,0.0,,,,,,,171.70139,6.99583,
196614,Emoia ponapea,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Emoia,Ponape Skink,"Kiester, 1982",2012,2011-09-16,EN,B1ab(iii)+2ab(iii),Decreasing,False,False,True,"Allison, A., Hamilton, A. & Tallowin, O.","Cox, N.A. & Buden, D.",,334,792.0,0.0,,,,,,,158.215542,6.929022,Af Tropical-Rainforest
196624,Emoia trossula,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Emoia,Viti Barred Treeskink,"Brown &amp; Gibbons, 1986",2013,2011-09-12,EN,"B1ab(iii,v)",Decreasing,False,False,True,"Allison, A., Hamilton, A. & Tallowin, O.","Cox, N.A. & Bowles, P.",,4999,650.0,0.0,,,,,,,-178.787984,-18.216667,
124926701,Encarsia estrellae,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APHELINIDAE,Encarsia,,"Manzari &amp; Polaszek, 2002",2021,2018-03-09,EN,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Nunes, R. & Borges, P.A.V.","Danielczak, A.",68,1776,850.0,350.0,,,,,,,-25.13327,37.73001,
137818,Endroedyolus paradoxus,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Endroedyolus,,"Scholtz &amp; Howden, 1987",2013,2013-07-30,EN,B1ab(iii),Unknown,False,False,True,"Davis, A.L.V.","Böhm, M. & Gerlach, J.",30,1200,1126.0,1030.0,,,,,,,28.75,-31.416667,Cfb Temperate-Withouth_dry_season-Warm_Summer
7737,Engaeus martigener,,,,EN,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PARASTACIDAE,Engaeus,Furneaux Burrowing Crayfish,"Horwitz, 1990",2010,2010-06-01,EN,B1ab(iii)+2ab(iii),Unknown,False,True,False,"Doran, N. & Horwitz, P.","Collen, B. & Richman, N.",0.18,15.1,,,,,,,,,148.12,-40.12,Cfb Temperate-Withouth_dry_season-Warm_Summer
7750,Enhydra lutris,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Enhydra,Sea Otter,"(Linnaeus, 1758)",2021,2020-01-21,EN,A2abe,Decreasing,True,False,True,"Doroff, A., Burdin, A. & Larson, S.","Hussain, S.A. & Duplaix, N.",,,0.0,0.0,0.0,82.0,,,,,-121.94385138091656,36.51712417483412,
199548,Enoplotettix gardineri,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Enoplotettix,Seychelles Palm Grasshopper,"(Bolivar, 1912)",2012,2007-10-27,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Unknown,False,False,True,"Gerlach, J.","Hochkirch, A. & Odé, B.",210,900,900.0,0.0,,,,,,,55.464346,-4.695937,
